"team","Ti","Cd","avg_starter_caps","coach_name","coach_tenure_yrs","combination_status","style_category","style_icon","ts_score_raw","Sd","win_pct_top10","workload_rotation_rating","season_minutes_status","n_players","data_source","caps_score","coach_mod","base_comb","Pc","Ts","Fp","dominant_club","fp_display","fp_max_same","spine_dominant_club","spine_match_count","spine_score","Sd_calc","eigen_spine_score","eigen_lambda_max","wr_rank","wr_pts","spine_bonus","profile","raw_score","synergy","rank"
"Ireland",9.5,8.5,68,"Andy Farrell",6,"Settled 6-Nations Champion Core","Set Piece & Lineout Drive","🎯",9.6,8.2,80,"Controlled (IRFU Central Minutes Cap)","~1,350 mins/yr (Strict IRFU Cap)",520,"research_compiled_v3",9.06666666666667,1.5,9,9.72,9.6,8,"Leinster","Leinster (4/5)  ×1",4,"Leinster",4,9,9,8,3,3,88.0750789184117,0.675,"Franchise Fortress",8.96675,95,1
"France",9.6,7.2,56,"Fabien Galthié",6,"Settled Grand Slam Core","Expansive & Unpredictable","🔥",8.8,9.2,75,"Heavy Load (Top 14 Overload Risk)","~2,200 mins/yr (Top 14 Heavy)",495,"research_compiled_v3",7.46666666666667,1.5,9,9.24,8.8,6.5,"Toulouse","Toulouse (3/5)  ×1",3,"Toulouse",4,9,9,8,3,4,87.4254892567389,0.675,"Bomb Squad Depth",8.35475,88.1,2
"South Africa",9.8,5.8,74,"Rassie Erasmus",8,"The Greatest Rivalry Series & World Cup Champions","Set Piece & Tony Brown Attack","🛡️",9.8,9.8,85,"Elite (23-man Squad Rotation)","~1,400 mins/yr (Centrally Managed)",480,"research_compiled_v3",9.86666666666667,1.5,5,7.96,9.8,4.5,"Sharks","Sharks (2/5)  ×1",2,"Stormers",2,4.5,4.5,4,1,1,95.0917503662657,0.3375,"Bomb Squad Depth",7.548375,79.1,3
"Scotland",8.8,5.5,58,"Gregor Townsend",9,"Long-standing Core","Fast Attacking & Loose-Ball","💨",7.8,6.8,55,"High Starter Dependency","~1,900 mins/yr (High Overuse)",360,"research_compiled_v3",7.73333333333333,1.5,9,9.32,7.8,4.5,"Edinburgh","Edinburgh (2/5)  ×1",2,"Scattered",1,2,2,2,0,6,84.7818641509157,0.15,"Cap-Rich Veterans",6.8305,71,4
"Italy",7.5,5.8,36,"Gonzalo Quesada",2.5,"Quesada Evolving Unit","High-Tempo & Counter","💨",6.8,6.2,40,"Moderate (Benetton Load Managed)","~1,700 mins/yr (Benetton Core)",340,"research_compiled_v3",4.8,0.5,7,6.44,6.8,8,"Benetton","Benetton (4/5)  ×1",4,"Benetton",1,2,2,2,0,12,76.3035510189096,0.15,"Rising Challenger",6.7885,70.5,5
"Wales",7.8,6.5,38,"Steve Tandy",1,"Gatland Major Rebuild","Developing Direct Game","🌱",5.8,5.5,25,"High Fatigue Risk (Thin Squad)","~2,000 mins/yr (Overuse Risk)",370,"research_compiled_v3",5.06666666666667,-1,5,4.02,5.8,8,"Ospreys","Ospreys (4/5)  ×1",4,"Cardiff",2,4.5,4.5,4,1,11,76.3840417483298,0.3375,"Franchise Fortress",6.487375,67.2,6
"New Zealand",9.7,4.5,62,"Scott Robertson",1.5,"Robertson Cycle Rebuild (Greatest Rivalry Runner-up)","Running & Width","⚡",8.8,8.5,72,"High (Super Rugby Load Managed)","~1,600 mins/yr (SR Managed)",510,"research_compiled_v3",8.26666666666667,-1,5,4.98,8.8,4.5,"Crusaders","Crusaders (2/5)  ×1",2,"Chiefs",2,4.5,4.5,4,1,2,91.1464463390414,0.3375,"Distributed Elite",6.466375,66.9,7
"England",9.4,5,52,"Steve Borthwick",3.5,"Rebuilt Post-2023 Unit","Kicking & Field Position","👟",7.2,7.8,52,"Moderate (Premiership 24-game Cap)","~1,800 mins/yr (Prem Cap)",490,"research_compiled_v3",6.93333333333333,0.5,5,6.08,7.2,4.5,"Saracens","Saracens (2/5)  ×1",2,"Saracens",2,4.5,4.5,4,1,5,85.6834125964918,0.3375,"Rising Challenger",6.446375,66.7,8
"Japan",7.5,5.5,44,"Eddie Jones",3,"Eddie Jones Young Squad","High-Tempo & Passing","⚡",7.5,6,30,"Controlled (League One Moderate Games)","~1,200 mins/yr (JRLO Short Season)",290,"research_compiled_v3",5.86666666666667,0.5,5,5.76,7.5,5.3,"Toyota","Toyota (4/5)  ×0.55",4,"Wild Knights",1,2,2,2,0,9,77.2824896871862,0.15,"Rising Challenger",6.1115,62.9,9
"Tonga",5.5,4.8,35,"Tevita Tu'ifua",2,"Pacific Veteran Core","Direct Pacific Power","💥",6.5,5.2,10,"High Fatigue Risk (Veteran Load)","~1,800 mins/yr (Veteran Overuse)",110,"research_compiled_v3",4.66666666666667,0.5,7,6.4,6.5,8,"Moana Pasifika","Moana Pasifika (4/5)  ×1",4,"Castres",1,2,2,2,0,19,65.1355629116591,0.15,"Rising Challenger",6.0525,62.3,10
"Australia",8.3,4.8,48,"Joe Schmidt",2.5,"Schmidt Rebuilding Phase","Kicking & Counter-Attack","👟",6.2,6.5,42,"Moderate (RA Load Management)","~1,650 mins/yr (RA Managed)",420,"research_compiled_v3",6.4,0.5,5,5.92,6.2,4.5,"Brumbies","Brumbies (2/5)  ×1",2,"Brumbies",4,9,9,8,3,7,83.5497029745442,0.675,"Distributed Elite",5.99675,61.6,11
"Fiji",7.8,4.5,42,"Mick Byrne",2,"Pacific Hybrid Combination","Unstructured Running Rugby","🏃",8,6.2,35,"High Fatigue Risk (Global Travel)","~2,000 mins/yr (Travel Heavy)",280,"research_compiled_v3",5.6,0.5,5,5.68,8,4.5,"Moana Pasifika","Moana Pasifika (2/5)  ×1",2,"Drua",1,2,2,2,0,10,76.8063846270742,0.15,"Rising Challenger",5.8145,59.6,12
"Georgia",6.5,4.2,45,"Richard Cockerill",2.5,"Set-Piece Heavy Core","Set Piece Warriors","🛡️",9,5.8,20,"High Starter Dependency","~2,100 mins/yr (Pro D2 Heavy)",180,"research_compiled_v3",6,0.5,7,6.8,9,4.47,"Pro D2","Pro D2 (3/5)  ×0.55",3,"Tbilisi",1,2,2,2,0,13,73.9439801460384,0.15,"Rising Challenger",5.7465,58.8,13
"Argentina",8.5,3.8,64,"Felipe Contepomi",2,"Post-Cheika Transition","Physicality & Breakdown","💥",8.2,7.2,50,"Moderate (European Pro Rotation)","~1,850 mins/yr (Euro Pro)",380,"research_compiled_v3",8.53333333333333,0.5,7,7.56,8.2,2,"Benetton","Benetton (1/5)  ×1",1,"Scattered",1,2,2,2,0,8,82.2445837601266,0.15,"Distributed Elite",5.6965,58.3,14
"Uruguay",4.8,5,30,"Rodolfo Ambrosio",2,"Domestic Core Unit","Physical Breakdown Game","💥",6.2,4.5,10,"Moderate (Peñarol Centrally Managed)","~1,400 mins/yr (SLAR Managed)",100,"research_compiled_v3",4,0.5,7,6.2,6.2,4.4,"Domestic","Domestic (5/5)  ×0.3",5,"Peñarol",1,2,2,2,0,18,65.7467246414586,0.15,"Rising Challenger",5.1125,51.7,15
"Portugal",5.5,3.8,28,"Simon Mannix",2,"European Professional Core","Fast & Offloading","💨",6.5,4.8,15,"High Fatigue Risk","~1,900 mins/yr (French Pro D2)",140,"research_compiled_v3",3.73333333333333,0.5,7,6.12,6.5,4.47,"Pro D2","Pro D2 (3/5)  ×0.55",3,"Perpignan",1,2,2,2,0,14,69.3919986491069,0.15,"Rising Challenger",4.9945,50.4,16
"Romania",4.2,4.5,38,"David Gérard",2,"Eastern European Pack Unit","Set Piece & Maul","🛡️",7.2,4,5,"High Fatigue Risk","~1,900 mins/yr (Domestic)",95,"research_compiled_v3",5.06666666666667,0.5,5,5.52,7.2,4.47,"Pro D2","Pro D2 (3/5)  ×0.55",3,"Dinamo",1,2,2,2,0,21,62.4522106650643,0.15,"Rising Challenger",4.8345,48.6,17
"Spain",4.5,4,20,"Pablo Bouza",2,"División de Honor Core","Developing Identity","🌱",4.8,3.8,5,"High Fatigue Risk","~1,700 mins/yr (Local Load)",90,"research_compiled_v3",2.66666666666667,0.5,7,5.8,4.8,3.8,"Division de Honor","Division de Honor (4/5)  ×0.3",4,"Biarritz",1,2,2,2,0,17,66.834183624271,0.15,"Rising Challenger",4.3925,43.6,18
"Canada",4,3.8,24,"Kingsley Jones",7,"MLR Native Squad","Developing Identity","🌱",4.5,3.8,0,"High Fatigue Risk","~1,600 mins/yr (MLR Load)",80,"research_compiled_v3",3.2,1.5,5,5.96,4.5,3.38,"Old Glory DC","Old Glory DC (2/5)  ×0.55",2,"New England",1,2,2,2,0,22,62.2861163457925,0.15,"Rising Challenger",4.1775,41.2,19
"USA",5.5,3.5,32,"Scott Lawrence",2.5,"MLR Hybrid Unit","Direct MLR Physicality","💥",5.5,4.2,5,"Moderate (MLR Workload)","~1,500 mins/yr (MLR Season)",170,"research_compiled_v3",4.26666666666667,0.5,5,5.28,5.5,2,"Anthem RC","Anthem RC (1/5)  ×0.55",1,"Chicago Hounds",1,2,2,2,0,15,67.5824739547849,0.15,"Rising Challenger",4.1095,40.4,20
"Chile",4.5,3.2,22,"Pablo Lemoine",6,"Super Rugby Americas Core","URBA Direct Physicality","💥",6,3.5,0,"Extreme Fatigue Risk (Amateur/Pro Mix)","~1,800 mins/yr (Amateur Load)",120,"research_compiled_v3",2.93333333333333,1.5,7,6.88,6,2,"CASI","CASI (1/5)  ×0.3",1,"Selknam",1,2,2,2,0,16,66.9425263888315,0.15,"Rising Challenger",4.0695,40,21
