"rank","team","union_contracting_structure","match_fee_usd","est_annual_12match_usd"
1,"England","RFU Enhanced Contracts",29000,348000
2,"Ireland","IRFU Central Contracts + Bonus",22000,264000
3,"France","FFR Test Match Allowance",20000,240000
4,"New Zealand","NZR Central Pool",14000,168000
5,"Scotland","SRU Match Fee Pool",13000,156000
6,"Wales","WRU Match Scale",11000,132000
7,"Australia","RA Central Incentive",10000,120000
8,"South Africa","SARU PONI Pool + Match Fee",6800,81600
9,"Japan","JRFU Match Allowance",6000,72000
10,"Italy","FIR Match Bonus",5500,66000
11,"Fiji","FRU Test Allowance",3000,36000
12,"Georgia","GRU Match Scale",2500,30000
