team,prop_L,hooker,prop_R,lock1,lock2
Ireland,Ulster,Leinster,Leinster,Leinster,Leinster
South Africa,Sharks,Bulls,Bath,Sharks,Stormers
New Zealand,Highlanders,Crusaders,Hurricanes,Crusaders,Blues
France,Toulon,Toulouse,Toulouse,Toulouse,Toulon
England,Bristol,Saracens,Northampton,Saracens,Leicester
Australia,Waratahs,Reds,Brumbies,Waratahs,Brumbies
Argentina,Benetton,Leicester,Toulon,Stade Francais,Racing 92
Scotland,Edinburgh,Glasgow,Glasgow,Exeter,Edinburgh
Wales,Ospreys,Ospreys,Ospreys,Exeter,Ospreys
Italy,Benetton,Gloucester,Benetton,Benetton,Benetton
Japan,Toyota,Toyota,Toyota,Kubota,Toyota
Fiji,Moana Pasifika,Honda Heat,Toulouse,Bordeaux,Moana Pasifika
Georgia,Montpellier,Pro D2,Stade Francais,Pro D2,Pro D2
Portugal,Pro D2,Divisao de Honra,Pro D2,Divisao de Honra,Pro D2
Romania,Pro D2,Pro D2,Domestic,Domestic,Pro D2
Spain,Division de Honor,Division de Honor,Division de Honor,Division de Honor,Pro D2
Canada,Old Glory DC,Seattle Seawolves,New England Free Jacks,Toronto Arrows,Old Glory DC
Uruguay,Domestic,Domestic,Domestic,Domestic,Domestic
USA,Old Glory DC,Anthem RC,NOLA Gold,Chicago Hounds,New England Free Jacks
Tonga,Moana Pasifika,Moana Pasifika,Moana Pasifika,Moana Pasifika,Agen
Chile,San Isidro,Tala,Hindu Club,CASI,Old Boys
